rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
28,73,0.975191,16,relu,0.372302,8.29751,0.000363382,45,True,1.11738e-06,114.0
29,77,0.975191,16,relu,0.264524,9.17673,0.000255532,65,True,1.61478e-06,144.0
30,79,0.975191,16,relu,0.474863,8.07134,8.04798e-05,50,True,3.31141e-06,165.9
31,91,0.975191,16,relu,0.357112,9.38585,0.00023991,60,True,1.25052e-06,153.5
32,92,0.975191,16,relu,0.42109,8.7245,0.00013242,70,True,3.47679e-06,164.8
33,94,0.975191,16,relu,0.275914,9.08405,9.26299e-05,45,True,3.18309e-07,141.5
34,100,0.975191,16,gelu,0.352453,9.15537,0.000234492,60,True,1.81598e-06,147.1
35,101,0.975191,16,relu,0.412915,9.37045,0.000284553,70,True,7.78514e-07,156.2
36,103,0.975191,16,relu,0.389212,9.77177,0.000426105,75,True,1.07847e-06,161.1
37,105,0.975191,16,relu,0.445697,9.31624,0.000341856,55,True,3.67693e-07,148.9
38,106,0.975191,16,gelu,0.36224,9.99107,0.00061456,50,True,8.29746e-07,119.1
39,121,0.975191,16,relu,0.428005,9.23918,0.000311142,40,True,7.87055e-07,142.4
40,128,0.975191,16,gelu,0.554203,9.09142,0.000163344,60,True,1.04988e-06,170.1
41,131,0.975191,16,gelu,0.259234,8.75181,0.000375852,65,True,6.74411e-07,142.5
42,144,0.975191,16,gelu,0.37463,7.63674,9.48688e-05,70,True,0.000377621,177.5
43,145,0.975191,16,gelu,0.355081,8.01866,0.000173898,60,True,0.000655822,143.6
44,147,0.975191,16,gelu,0.334681,8.30721,0.000138734,65,True,0.000257112,145.9
45,155,0.975191,16,gelu,0.378237,6.84669,8.28909e-05,55,True,0.000973863,168.4
46,157,0.975191,16,gelu,0.420475,7.71133,0.000149592,55,True,0.000546802,169.0
47,165,0.975191,16,gelu,0.407145,7.84054,0.000251495,60,True,0.000496999,137.6
48,166,0.975191,16,gelu,0.381904,8.67232,0.000103959,50,True,8.25104e-05,170.3
49,169,0.975191,16,gelu,0.3729,8.12149,0.000225486,55,True,0.000280583,132.1
50,171,0.975191,16,gelu,0.36712,7.19672,0.000128818,55,True,0.000601025,162.8
51,172,0.975191,16,gelu,0.349987,7.39732,0.000100223,60,True,0.000454398,162.5
52,174,0.975191,16,gelu,0.399715,7.72609,0.000124795,65,True,0.000980776,171.6
53,188,0.975191,16,gelu,0.360008,7.89472,0.00017698,60,True,0.000300406,136.1
54,194,0.975191,16,gelu,0.393291,8.78578,0.00033354,50,True,1.63631e-06,143.9
55,195,0.975191,16,gelu,0.245393,8.97803,0.000126838,55,True,9.40557e-07,184.2
56,198,0.975191,16,gelu,0.404486,6.40411,0.000699233,45,True,0.000500918,117.8
57,19,0.973282,16,gelu,0.154402,5.76204,0.000175672,20,False,1.02184e-05,58.1
58,21,0.973282,16,gelu,0.165336,3.5853,0.000990203,15,False,1.98894e-05,36.2
59,52,0.973282,16,gelu,0.202106,6.12215,0.000199475,20,True,4.90977e-06,70.7
60,58,0.973282,16,gelu,0.327824,6.0465,0.000367055,30,True,5.38869e-06,77.2
61,66,0.973282,16,gelu,0.295436,8.25579,0.000109621,55,True,1.34197e-06,147.7
62,81,0.973282,16,relu,0.292378,9.87864,0.000363357,65,True,2.90351e-07,134.0
63,87,0.973282,16,relu,0.310877,8.00195,0.000192303,50,True,2.62655e-06,123.3
64,97,0.973282,16,gelu,0.317833,8.33084,0.000178201,55,True,1.54065e-07,126.6
65,102,0.973282,16,relu,0.306255,8.88458,0.000322199,70,True,1.44738e-06,151.0
66,104,0.973282,16,relu,0.323922,8.63104,0.000151872,85,True,5.92866e-07,161.1
67,116,0.973282,16,gelu,0.394562,7.79935,0.000951275,55,True,5.73367e-07,117.2
68,123,0.973282,16,gelu,0.449578,8.99243,0.000212396,100,True,1.20558e-06,177.3
69,126,0.973282,16,gelu,0.487197,8.45068,0.000508788,50,True,6.14126e-06,125.6
70,130,0.973282,16,gelu,0.308015,7.70077,0.000251233,45,True,9.69455e-07,104.8
